CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Usman Setiawan,60,belum menikah,106723,laki-laki,5,0,S3,professional,memiliki rumah sendiri,3
Fitri Anggraini,69,belum menikah,148253,laki-laki,1,1,S2,skilled manual work,memiliki rumah sendiri,1
Agus Susanto,61,sudah menikah,142117,laki-laki,3,4,S2,skilled manual work,memiliki rumah sendiri,1
Taufik Haryanto,40,sudah menikah,30102,perempuan,3,0,S2,clerical work,memiliki rumah sendiri,0
Indra Hidayat,45,belum menikah,44401,laki-laki,1,0,S2,clerical work,memiliki rumah sendiri,1
Rizki Mahendra,53,belum menikah,91626,perempuan,2,4,SMA,clerical work,memiliki rumah sendiri,2
Vina Fauzan,32,sudah menikah,110071,perempuan,5,0,SMA,clerical work,tidak memiliki rumah sendiri,2
Nina Setiawan,59,sudah menikah,72607,laki-laki,2,0,S2,sales,memiliki rumah sendiri,1
Indra Purnomo,20,belum menikah,126462,perempuan,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,3
Wati Susanto,47,sudah menikah,47528,perempuan,4,1,Post-graduate,sales,tidak memiliki rumah sendiri,1
Maya Santoso,69,sudah menikah,129090,laki-laki,5,1,S3,management,tidak memiliki rumah sendiri,2
Agus Mahendra,58,sudah menikah,106307,laki-laki,0,4,Post-graduate,professional,tidak memiliki rumah sendiri,3
Lina Setiawan,30,sudah menikah,59330,laki-laki,2,2,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Joko Pratama,18,belum menikah,45954,perempuan,3,1,S3,skilled manual work,memiliki rumah sendiri,1
Putri Santoso,32,belum menikah,21791,perempuan,4,3,S2,professional,memiliki rumah sendiri,3
Agus Hakim,46,sudah menikah,41983,laki-laki,2,2,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Zainab Utomo,38,sudah menikah,123267,laki-laki,1,1,Post-graduate,clerical work,memiliki rumah sendiri,0
Hadi Fauzan,50,belum menikah,105516,laki-laki,4,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Zainab Setiawan,25,sudah menikah,146521,perempuan,4,0,S2,unskilled manual work,memiliki rumah sendiri,1
Indra Wahyuni,51,belum menikah,85949,perempuan,3,2,SMA,professional,tidak memiliki rumah sendiri,1
Joko Muliawan,34,belum menikah,41076,laki-laki,1,2,S1,clerical work,memiliki rumah sendiri,3
Budi Hakim,67,sudah menikah,87925,laki-laki,3,2,S1,unskilled manual work,memiliki rumah sendiri,2
Indra Anggraini,55,sudah menikah,113956,perempuan,5,3,S2,sales,tidak memiliki rumah sendiri,0
Zainab Pratama,24,belum menikah,147197,perempuan,0,1,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Taufik Putra,19,belum menikah,145618,laki-laki,2,2,S3,skilled manual work,tidak memiliki rumah sendiri,0
Agus Pratama,65,sudah menikah,83846,perempuan,3,3,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Maya Wijaya,64,belum menikah,106543,laki-laki,0,0,S2,professional,memiliki rumah sendiri,2
Zainab Wijaya,18,sudah menikah,51982,laki-laki,1,4,SMA,management,memiliki rumah sendiri,3
Cahyadi Wijaya,59,sudah menikah,148827,laki-laki,2,3,S3,sales,memiliki rumah sendiri,2
Vina Wahyuni,46,sudah menikah,127145,laki-laki,2,0,S3,unskilled manual work,memiliki rumah sendiri,1
Nina Setiawan,39,sudah menikah,77807,laki-laki,5,0,SMA,clerical work,memiliki rumah sendiri,1
Nina Mahendra,53,sudah menikah,48539,laki-laki,4,1,SMA,unskilled manual work,memiliki rumah sendiri,0
Yusuf Anggraini,61,sudah menikah,130201,laki-laki,3,2,S2,skilled manual work,memiliki rumah sendiri,2
Usman Susanto,45,belum menikah,90347,laki-laki,0,3,S3,skilled manual work,memiliki rumah sendiri,2
Hadi Wijaya,65,sudah menikah,122288,laki-laki,1,0,SMA,sales,memiliki rumah sendiri,1
Siti Susanto,44,sudah menikah,42962,perempuan,4,2,Post-graduate,skilled manual work,memiliki rumah sendiri,0
Indra Utomo,59,belum menikah,116705,laki-laki,2,4,S3,management,memiliki rumah sendiri,0
Maya Saputra,57,belum menikah,82170,perempuan,4,2,S1,professional,memiliki rumah sendiri,2
Rizki Utomo,46,belum menikah,137069,perempuan,0,2,Post-graduate,management,memiliki rumah sendiri,3
Hadi Utomo,37,sudah menikah,23883,perempuan,5,0,SMA,professional,memiliki rumah sendiri,3
Agus Wahyuni,36,belum menikah,120318,laki-laki,4,1,S2,sales,memiliki rumah sendiri,1
Hadi Anggraini,69,belum menikah,74865,laki-laki,2,0,S3,sales,memiliki rumah sendiri,0
Lina Wibowo,22,sudah menikah,89147,perempuan,1,0,S2,skilled manual work,memiliki rumah sendiri,3
Dewi Wibowo,62,belum menikah,57537,laki-laki,4,1,S3,management,memiliki rumah sendiri,1
Hadi Rachman,35,sudah menikah,72007,perempuan,5,0,S2,clerical work,memiliki rumah sendiri,2
Hadi Fauzan,51,sudah menikah,119162,laki-laki,2,1,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Rizki Pratama,59,belum menikah,138783,laki-laki,3,2,S3,management,tidak memiliki rumah sendiri,3
Agus Pratama,32,belum menikah,45172,laki-laki,1,0,SMA,unskilled manual work,memiliki rumah sendiri,1
Cahyadi Anggraini,66,sudah menikah,92130,laki-laki,3,2,S2,management,memiliki rumah sendiri,2
Gita Hakim,60,belum menikah,49712,laki-laki,4,2,S2,sales,tidak memiliki rumah sendiri,1
Usman Susanto,67,sudah menikah,120257,perempuan,1,1,S2,clerical work,memiliki rumah sendiri,2
Agus Muliawan,24,belum menikah,71226,perempuan,4,0,S2,professional,memiliki rumah sendiri,2
Kartini Utomo,69,belum menikah,51830,laki-laki,2,0,SMA,unskilled manual work,memiliki rumah sendiri,0
Rizki Mahendra,50,sudah menikah,108585,laki-laki,1,1,S2,management,tidak memiliki rumah sendiri,2
Hadi Mahendra,67,belum menikah,132979,laki-laki,5,0,SMA,professional,tidak memiliki rumah sendiri,3
Dewi Mahendra,21,belum menikah,67408,laki-laki,5,2,S1,unskilled manual work,memiliki rumah sendiri,3
Dewi Fauzan,69,sudah menikah,128818,laki-laki,3,4,Post-graduate,sales,memiliki rumah sendiri,1
Gita Mahendra,46,sudah menikah,92934,laki-laki,5,0,SMA,professional,memiliki rumah sendiri,2
Nina Rachman,48,belum menikah,116525,laki-laki,1,1,SMA,sales,memiliki rumah sendiri,2
Fitri Wahyuni,63,belum menikah,72397,laki-laki,0,1,S2,professional,tidak memiliki rumah sendiri,2
Zainab Purnomo,31,sudah menikah,65498,perempuan,1,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Usman Susanto,25,sudah menikah,67937,perempuan,5,4,S3,sales,tidak memiliki rumah sendiri,3
Siti Utomo,66,sudah menikah,73934,perempuan,5,2,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Yusuf Wijaya,35,sudah menikah,109564,laki-laki,0,3,S2,skilled manual work,memiliki rumah sendiri,1
Lina Setiawan,36,sudah menikah,103277,perempuan,1,3,S1,management,tidak memiliki rumah sendiri,0
Putri Wibowo,63,sudah menikah,130382,perempuan,5,3,S2,skilled manual work,memiliki rumah sendiri,0
Nina Santoso,22,sudah menikah,28996,perempuan,0,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,3
Usman Wahyuni,55,sudah menikah,73482,perempuan,1,0,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Agus Wibowo,57,belum menikah,61006,perempuan,5,0,S3,professional,memiliki rumah sendiri,2
Fitri Purnomo,21,belum menikah,106280,laki-laki,1,0,S2,sales,tidak memiliki rumah sendiri,1
Cahyadi Wijaya,51,sudah menikah,32529,laki-laki,5,2,SMA,skilled manual work,memiliki rumah sendiri,0
Yusuf Wibowo,54,belum menikah,135805,perempuan,1,3,S3,unskilled manual work,memiliki rumah sendiri,3
Lina Santoso,24,sudah menikah,39223,laki-laki,4,0,Post-graduate,professional,memiliki rumah sendiri,2
Rizki Fauzan,20,belum menikah,130478,perempuan,2,0,SMA,management,memiliki rumah sendiri,3
Siti Santoso,58,sudah menikah,131675,perempuan,2,1,S2,clerical work,tidak memiliki rumah sendiri,0
Indra Rachman,18,sudah menikah,135512,perempuan,1,0,Post-graduate,professional,tidak memiliki rumah sendiri,1
Zainab Susanto,65,sudah menikah,21273,laki-laki,5,0,Post-graduate,sales,tidak memiliki rumah sendiri,3
Usman Utomo,20,belum menikah,46605,laki-laki,0,1,SMA,skilled manual work,memiliki rumah sendiri,3
Gita Rachman,61,sudah menikah,134830,laki-laki,4,1,SMA,sales,memiliki rumah sendiri,1
Kartini Wibowo,32,belum menikah,115656,laki-laki,3,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Vina Pratama,57,belum menikah,38718,perempuan,0,0,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Yusuf Sari,53,sudah menikah,124231,laki-laki,3,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,3
Taufik Purnomo,63,sudah menikah,61418,perempuan,3,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Zainab Purnomo,43,belum menikah,87891,perempuan,0,1,S2,management,memiliki rumah sendiri,3
Taufik Rachman,58,sudah menikah,89455,perempuan,1,0,S3,management,tidak memiliki rumah sendiri,2
Budi Wibowo,24,belum menikah,78598,laki-laki,5,0,SMA,sales,memiliki rumah sendiri,3
Nina Utomo,19,belum menikah,112384,perempuan,4,4,S3,skilled manual work,tidak memiliki rumah sendiri,1
Eko Putra,35,belum menikah,54603,perempuan,3,0,S3,unskilled manual work,memiliki rumah sendiri,2
Eko Mahendra,25,sudah menikah,67078,perempuan,3,1,S1,sales,tidak memiliki rumah sendiri,1
Kartini Hakim,18,sudah menikah,72734,laki-laki,0,3,S3,professional,tidak memiliki rumah sendiri,1
Usman Wijaya,29,belum menikah,97086,perempuan,5,1,Post-graduate,clerical work,memiliki rumah sendiri,0
Fitri Mahendra,36,sudah menikah,100746,perempuan,5,0,SMA,management,memiliki rumah sendiri,1
Hadi Wijaya,39,belum menikah,80334,laki-laki,5,0,Post-graduate,sales,tidak memiliki rumah sendiri,2
Vina Wahyuni,36,sudah menikah,143808,perempuan,4,1,S1,professional,tidak memiliki rumah sendiri,2
Maya Pratama,53,sudah menikah,140081,laki-laki,1,2,S2,clerical work,memiliki rumah sendiri,2
Putri Anggraini,19,belum menikah,136430,perempuan,1,4,S1,professional,tidak memiliki rumah sendiri,0
Wati Rachman,25,belum menikah,96120,laki-laki,5,1,S1,management,memiliki rumah sendiri,1
Agus Mahendra,67,sudah menikah,80125,perempuan,4,2,SMA,skilled manual work,tidak memiliki rumah sendiri,0
Indra Hakim,30,belum menikah,75042,perempuan,2,0,S2,professional,memiliki rumah sendiri,2
Rizki Pratama,66,belum menikah,21288,laki-laki,0,0,S3,clerical work,tidak memiliki rumah sendiri,3
Kartini Santoso,39,belum menikah,133918,perempuan,5,0,S1,management,memiliki rumah sendiri,3
Vina Wibowo,19,belum menikah,120722,perempuan,3,1,S2,skilled manual work,memiliki rumah sendiri,0
Gita Hidayat,39,belum menikah,58058,perempuan,1,3,S3,professional,tidak memiliki rumah sendiri,3
Rizki Muliawan,68,belum menikah,65546,perempuan,5,2,Post-graduate,sales,memiliki rumah sendiri,2
Maya Setiawan,32,sudah menikah,115603,laki-laki,5,2,S2,management,tidak memiliki rumah sendiri,2
Kartini Putra,29,belum menikah,75204,laki-laki,3,0,S1,professional,memiliki rumah sendiri,3
Maya Utomo,36,sudah menikah,95654,laki-laki,0,2,S1,skilled manual work,tidak memiliki rumah sendiri,1
Siti Rachman,52,sudah menikah,74615,laki-laki,2,2,S3,skilled manual work,memiliki rumah sendiri,2
Gita Saputra,46,belum menikah,100168,perempuan,4,4,S2,management,tidak memiliki rumah sendiri,0
Vina Purnomo,30,belum menikah,91041,perempuan,4,1,S2,skilled manual work,memiliki rumah sendiri,3
Hadi Fauzan,64,belum menikah,41889,laki-laki,4,1,S1,sales,tidak memiliki rumah sendiri,3
Fitri Wijaya,62,belum menikah,91769,perempuan,1,0,S3,sales,tidak memiliki rumah sendiri,2
Eko Rachman,62,sudah menikah,138581,perempuan,1,1,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Rizki Muliawan,19,sudah menikah,83390,perempuan,5,1,Post-graduate,management,memiliki rumah sendiri,3
Agus Pratama,64,sudah menikah,63078,laki-laki,3,0,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Budi Mahendra,41,sudah menikah,43229,perempuan,4,3,S1,professional,memiliki rumah sendiri,1
Siti Mahendra,41,belum menikah,110802,laki-laki,5,3,S3,management,memiliki rumah sendiri,3
Budi Rachman,58,belum menikah,145333,perempuan,2,3,S3,clerical work,tidak memiliki rumah sendiri,0
Indra Haryanto,40,belum menikah,115957,laki-laki,4,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Fitri Susanto,43,belum menikah,146725,perempuan,1,3,S2,skilled manual work,tidak memiliki rumah sendiri,1
Dewi Susanto,39,sudah menikah,108497,perempuan,1,1,S2,clerical work,memiliki rumah sendiri,3
Usman Wijaya,31,belum menikah,35440,perempuan,3,1,SMA,professional,memiliki rumah sendiri,3
Budi Susanto,34,belum menikah,82554,perempuan,5,1,Post-graduate,unskilled manual work,memiliki rumah sendiri,0
Vina Setiawan,27,sudah menikah,76456,perempuan,4,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Rizki Utomo,33,belum menikah,109951,perempuan,0,0,S1,professional,memiliki rumah sendiri,0
Zainab Rachman,61,belum menikah,142077,laki-laki,3,3,S2,skilled manual work,memiliki rumah sendiri,0
Zainab Muliawan,57,belum menikah,90374,laki-laki,2,2,S1,clerical work,tidak memiliki rumah sendiri,3
Budi Wibowo,53,belum menikah,128130,laki-laki,1,0,S3,management,memiliki rumah sendiri,1
Taufik Pratama,67,belum menikah,129109,perempuan,4,2,S3,unskilled manual work,memiliki rumah sendiri,1
Budi Fauzan,20,sudah menikah,139729,perempuan,5,3,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Eko Mahendra,33,sudah menikah,90966,perempuan,5,0,S2,management,tidak memiliki rumah sendiri,2
Kartini Santoso,59,belum menikah,57881,perempuan,2,0,S1,skilled manual work,memiliki rumah sendiri,3
Joko Wijaya,49,sudah menikah,48736,perempuan,2,0,Post-graduate,management,memiliki rumah sendiri,3
Indra Susanto,50,belum menikah,51982,laki-laki,2,1,SMA,clerical work,tidak memiliki rumah sendiri,1
Putri Susanto,41,sudah menikah,125435,laki-laki,2,1,S2,management,memiliki rumah sendiri,1
Hadi Pratama,63,belum menikah,44574,laki-laki,5,2,S3,skilled manual work,tidak memiliki rumah sendiri,2
Eko Hakim,61,belum menikah,49136,laki-laki,0,0,Post-graduate,management,memiliki rumah sendiri,0
Maya Wahyuni,60,belum menikah,146262,laki-laki,1,5,S3,professional,memiliki rumah sendiri,3
Usman Anggraini,57,sudah menikah,60488,laki-laki,3,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
Budi Wibowo,44,sudah menikah,90764,laki-laki,3,0,S2,management,tidak memiliki rumah sendiri,0
Yusuf Pratama,59,belum menikah,148079,laki-laki,0,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Eko Haryanto,37,sudah menikah,88927,laki-laki,3,1,SMA,management,tidak memiliki rumah sendiri,0
Indra Saputra,51,sudah menikah,127914,perempuan,0,1,S2,management,tidak memiliki rumah sendiri,1
Wati Rachman,37,sudah menikah,98141,laki-laki,3,0,Post-graduate,management,tidak memiliki rumah sendiri,2
Wati Putra,66,belum menikah,99145,perempuan,4,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,0
Taufik Wahyuni,41,sudah menikah,149788,perempuan,3,0,SMA,clerical work,tidak memiliki rumah sendiri,2
Usman Susanto,49,belum menikah,31173,laki-laki,0,2,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Cahyadi Hidayat,33,belum menikah,43607,perempuan,1,2,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Rizki Fauzan,60,belum menikah,134886,laki-laki,5,1,S2,unskilled manual work,memiliki rumah sendiri,1
Usman Hakim,22,belum menikah,111327,laki-laki,2,0,SMA,professional,tidak memiliki rumah sendiri,3
Gita Wibowo,48,belum menikah,128049,laki-laki,5,3,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Vina Putra,38,belum menikah,92830,perempuan,2,0,SMA,management,memiliki rumah sendiri,3
Taufik Anggraini,32,belum menikah,145802,laki-laki,4,3,Post-graduate,clerical work,memiliki rumah sendiri,0
Wati Purnomo,45,sudah menikah,125717,laki-laki,0,2,S3,clerical work,tidak memiliki rumah sendiri,3
Budi Rachman,28,belum menikah,143105,laki-laki,1,0,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Kartini Saputra,57,belum menikah,77272,perempuan,3,1,S1,skilled manual work,tidak memiliki rumah sendiri,3
Maya Putra,37,sudah menikah,86657,perempuan,1,0,SMA,sales,tidak memiliki rumah sendiri,3
